# D15, g_21-mode 
# time (s), frequency (Hz) 
  1.01800310E-01   5.99708770E+01 
  1.03800460E-01   6.01173010E+01 
  1.05800050E-01   6.02710280E+01 
  1.07800520E-01   6.04156310E+01 
  1.09800850E-01   6.05568790E+01 
  1.11800010E-01   6.06929390E+01 
  1.13800840E-01   6.08353850E+01 
  1.15800530E-01   6.09685210E+01 
  1.17800030E-01   6.11072270E+01 
  1.19800250E-01   6.12390540E+01 
  1.21800260E-01   6.13820970E+01 
  1.23800860E-01   6.15129380E+01 
  1.25800170E-01   6.16462620E+01 
  1.27800090E-01   6.17724530E+01 
  1.29800790E-01   6.18944690E+01 
  1.31800440E-01   6.20292740E+01 
  1.33800880E-01   6.21581760E+01 
  1.35800270E-01   6.22924020E+01 
  1.37800390E-01   6.24037160E+01 
  1.39800460E-01   6.25179270E+01 
  1.41800390E-01   6.26210730E+01 
  1.43800310E-01   6.27459540E+01 
  1.45800120E-01   6.28698920E+01 
  1.47800320E-01   6.29859280E+01 
  1.49800210E-01   6.30894350E+01 
  1.51800850E-01   6.31928060E+01 
  1.53800670E-01   6.33059920E+01 
  1.55800480E-01   6.34018500E+01 
  1.57800300E-01   6.35054230E+01 
  1.59800100E-01   6.36069850E+01 
  1.61800000E-01   6.36892470E+01 
  1.63800020E-01   6.37924680E+01 
  1.65800220E-01   6.38994250E+01 
  1.67800520E-01   6.40034470E+01 
  1.69800410E-01   6.40864540E+01 
  1.71800080E-01   6.41809920E+01 
  1.73800190E-01   6.42711550E+01 
  1.75800420E-01   6.43692790E+01 
  1.77800660E-01   6.44553670E+01 
  1.79800120E-01   6.45414390E+01 
  1.81800430E-01   6.46274880E+01 
  1.83800480E-01   6.46950010E+01 
  1.85800370E-01   6.47916980E+01 
  1.87800820E-01   6.48485870E+01 
  1.89800160E-01   6.49304070E+01 
  1.91800110E-01   6.50217570E+01 
  1.93800690E-01   6.51054990E+01 
  1.95800310E-01   6.51832090E+01 
  1.97800630E-01   6.52474560E+01 
  1.99800170E-01   6.53293860E+01 
  2.01800750E-01   6.53884370E+01 
  2.03800800E-01   6.54519890E+01 
  2.05800300E-01   6.55225900E+01 
  2.07800130E-01   6.55653960E+01 
  2.09800290E-01   6.56708400E+01 
  2.11800570E-01   6.57257870E+01 
  2.13800590E-01   6.58053370E+01 
  2.15800420E-01   6.58792750E+01 
  2.17800080E-01   6.59645570E+01 
  2.19800140E-01   6.60516880E+01 
  2.21800500E-01   6.61409080E+01 
  2.23800520E-01   6.61972560E+01 
  2.25800530E-01   6.62650860E+01 
  2.27800560E-01   6.63351010E+01 
  2.29800630E-01   6.64313620E+01 
  2.31800040E-01   6.64740360E+01 
  2.33800340E-01   6.65396560E+01 
  2.35800080E-01   6.66391240E+01 
  2.37800720E-01   6.66533450E+01 
  2.39800220E-01   6.67125810E+01 
  2.41800160E-01   6.67697000E+01 
  2.43800010E-01   6.68550250E+01 
  2.45800600E-01   6.68991770E+01 
  2.47800200E-01   6.69186970E+01 
  2.49800080E-01   6.69490400E+01 
  2.51800420E-01   6.70076830E+01 
  2.53800180E-01   6.70332780E+01 
  2.55800590E-01   6.70611160E+01 
  2.57800670E-01   6.71078490E+01 
  2.59800190E-01   6.71263120E+01 
  2.61800250E-01   6.71127920E+01 
  2.63800370E-01   6.71170090E+01 
  2.65800070E-01   6.71516780E+01 
  2.67800680E-01   6.71601550E+01 
  2.69800000E-01   6.72209870E+01 
  2.71800280E-01   6.72046080E+01 
  2.73800510E-01   6.72212090E+01 
  2.75800470E-01   6.64352160E+01 
  2.77800180E-01   6.56617170E+01 
  2.79800550E-01   6.50221500E+01 
  2.81800120E-01   6.43748710E+01 
  2.83800630E-01   6.36752210E+01 
  2.85800290E-01   6.30242230E+01 
  2.87800000E-01   6.21826810E+01 
  2.89800410E-01   6.12087350E+01 
  2.91800070E-01   6.01083990E+01 
  2.93800600E-01   5.91590840E+01 
  2.95800380E-01   5.92257210E+01 
  2.97800600E-01   5.91638020E+01 
  2.99800400E-01   5.88725760E+01 
  3.01800920E-01   5.83479910E+01 
  3.03800040E-01   5.74353790E+01 
  3.05800940E-01   5.63066360E+01 
  3.07800340E-01   5.54030860E+01 
  3.09800000E-01   5.49249380E+01 
  3.11800760E-01   5.44045990E+01 
  3.13800720E-01   5.32648840E+01 
  3.15800260E-01   5.22201650E+01 
  3.17800520E-01   5.16223450E+01 
  3.19800530E-01   5.14490190E+01 
  3.21800670E-01   5.15771980E+01 
  3.23801050E-01   5.16737890E+01 
  3.25800090E-01   5.17321440E+01 
  3.27801020E-01   5.17303450E+01 
  3.29800910E-01   5.16986120E+01 
  3.31800370E-01   5.16399220E+01 
  3.33800090E-01   5.16297360E+01 
  3.35800710E-01   5.15607220E+01 
  3.37800500E-01   5.15476080E+01 
  3.39800130E-01   5.14313650E+01 
  3.41800390E-01   5.14041950E+01 
  3.43800290E-01   5.13429430E+01 
  3.45800340E-01   5.12226630E+01 
  3.47800460E-01   5.11760400E+01 
  3.49800870E-01   5.11463390E+01 
  3.51800630E-01   5.11523280E+01 
  3.53800040E-01   5.11797120E+01 
  3.55800690E-01   5.12091250E+01 
  3.57800130E-01   5.12369360E+01 
  3.59800720E-01   5.13720230E+01 
  3.61800010E-01   5.14761460E+01 
  3.63800400E-01   5.14662440E+01 
  3.65800710E-01   5.15225740E+01 
  3.67800010E-01   5.16220570E+01 
  3.69800100E-01   5.18144780E+01 
  3.71800630E-01   5.18288340E+01 
  3.73800940E-01   5.18989200E+01 
  3.75800090E-01   5.19816100E+01 
